macrostate,P_up,P_down,term_1,term_2
133,0.0026431040808999997,0.0040330482499,-1.1089172828300628e-17,1.6418837387289706e-38
134,0.002773072965,0.0041432530887,-1.1105479517259435e-17,1.629476313412129e-38
135,0.0026297798601999994,0.0032762692178000003,-1.1242093682012246e-17,1.4345391268305721e-38
136,0.0026200344954,0.0043052500134,-1.1324229517248814e-17,1.7307629530039045e-38
137,0.0025089625185999997,0.0037944317238,-1.138579517500117e-17,1.5705939120953998e-38
138,0.0027042255702000003,0.0033804191849000002,-1.1441169273661412e-17,1.738886874898158e-38
139,0.0025370822895,0.004055273653699999,-1.1526904763148301e-17,1.4094556650605086e-38
140,0.0026288262133,0.004505599484,-1.1560411819412546e-17,1.9601827104672581e-38
141,0.0026264986597,0.0044651688794,-1.1604821251702065e-17,1.9173956200552673e-38
142,0.0025967206835,0.0042483080419,-1.1737021993839103e-17,1.669843361316361e-38
143,0.0024383062145,0.0040642021849,-1.1803731496527856e-17,1.4427859965814413e-38
144,0.0025253764176,0.0043069700031999995,-1.1842856075237857e-17,1.6667585617830647e-38
145,0.0025510416980000002,0.0042161089498000005,-1.1910149948051007e-17,1.5674293016482664e-38
146,0.0025635724933000003,0.0040454574613000005,-1.2004166071104445e-17,2.3049380604690792e-38
147,0.0027184957185,0.0038290758734999997,-1.1975156063629521e-17,2.0934184887187586e-38
148,0.0028021125975999997,0.0042221776103,-1.2060919794392537e-17,1.8275528122716755e-38
149,0.0024056871506,0.004538127180199999,-1.2212562763911342e-17,1.9176607900113597e-38
150,0.0023752851858000004,0.0037978075931999994,-1.2257493693920551e-17,1.823370098068622e-38
151,0.0025061000846,0.004371464176199999,-1.232310050619529e-17,1.850241315396573e-38
152,0.0024295654551,0.0039770369459999995,-1.241656491397904e-17,2.0854533975031342e-38
153,0.0024183556138000005,0.0043312662711,-1.2471325422926895e-17,2.452859035884776e-38
154,0.0023767112869,0.0041549980038,-1.257137572376438e-17,1.7945200117422538e-38
155,0.0026418786969000002,0.0048321272453,-1.254716335193106e-17,2.0188401334010684e-38
156,0.0024067750655,0.0055729016467,-1.2619561976077823e-17,2.42302763957969e-38
157,0.0024222731705,0.0043715017515,-1.271888073052629e-17,1.8157148526335689e-38
158,0.0024265361274000002,0.0039502739442,-1.2779607646146207e-17,1.9926428895055378e-38
159,0.002289672345,0.0036239110586,-1.2972479301667674e-17,2.703958175592777e-38
160,0.0023487543085,0.003932739307699999,-1.2989229875088265e-17,2.0803363899553132e-38
161,0.0023889707013,0.0043691662956,-1.3016349220476667e-17,1.8458576878751558e-38
